2024-03-25 20:24:25,156 - INFO - Args parsed succesfully
2024-03-25 20:24:25,157 - INFO - Params: Namespace(emotion_transform_prob=0.0, epochs=100, exp_name='Regular', net_name='resnet50')
2024-03-25 20:24:25,739 - INFO - Model was initialized and sent to cuda:0
2024-03-25 20:24:27,543 - INFO - All data has been loaded
2024-03-25 20:24:27,545 - INFO - DataLoaders initialized
2024-03-25 20:24:27,545 - INFO - HyperParams initiliazed, starting training...
2024-03-25 20:33:45,765 - INFO - Epoch: 20 | Loss: 0.0002 | Training accuracy: 99.331% | Validation accuracy: 66.314% | Epoch Time: 42.63 secs
2024-03-25 20:33:50,339 - INFO - 	 In epoch number 21, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.12 secs
2024-03-25 20:34:00,912 - INFO - 	 In epoch number 21, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.69 secs
2024-03-25 20:34:11,457 - INFO - 	 In epoch number 21, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.24 secs
2024-03-25 20:34:13,917 - INFO - Finished epoch number 21 | Loss: 0.00019198754106782018 | Epoch Time: 23.696269989013672
2024-03-25 20:34:14,022 - INFO - 	 In epoch number 22, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:34:24,534 - INFO - 	 In epoch number 22, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.62 secs
2024-03-25 20:34:35,068 - INFO - 	 In epoch number 22, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.15 secs
2024-03-25 20:34:37,524 - INFO - Finished epoch number 22 | Loss: 0.00012694833102215648 | Epoch Time: 23.606240034103394
2024-03-25 20:34:37,628 - INFO - 	 In epoch number 23, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:34:48,210 - INFO - 	 In epoch number 23, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.69 secs
2024-03-25 20:34:58,770 - INFO - 	 In epoch number 23, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.25 secs
2024-03-25 20:35:01,262 - INFO - Finished epoch number 23 | Loss: 0.00010078858989366641 | Epoch Time: 23.73666524887085
2024-03-25 20:35:01,368 - INFO - 	 In epoch number 24, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:35:11,948 - INFO - 	 In epoch number 24, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.69 secs
2024-03-25 20:35:22,530 - INFO - 	 In epoch number 24, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.27 secs
2024-03-25 20:35:25,017 - INFO - Finished epoch number 24 | Loss: 9.024614913124635e-05 | Epoch Time: 23.754737854003906
2024-03-25 20:35:25,124 - INFO - 	 In epoch number 25, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:35:35,741 - INFO - 	 In epoch number 25, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.72 secs
2024-03-25 20:35:46,319 - INFO - 	 In epoch number 25, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.30 secs
2024-03-25 20:36:07,813 - INFO - Epoch: 25 | Loss: 0.0001 | Training accuracy: 99.725% | Validation accuracy: 66.592% | Epoch Time: 42.80 secs
2024-03-25 20:36:11,860 - INFO - 	 In epoch number 26, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.12 secs
2024-03-25 20:36:22,455 - INFO - 	 In epoch number 26, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.71 secs
2024-03-25 20:36:33,012 - INFO - 	 In epoch number 26, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.27 secs
2024-03-25 20:36:35,495 - INFO - Finished epoch number 26 | Loss: 5.7675516999314256e-05 | Epoch Time: 23.753978967666626
2024-03-25 20:36:35,601 - INFO - 	 In epoch number 27, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:36:46,116 - INFO - 	 In epoch number 27, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.62 secs
2024-03-25 20:36:56,659 - INFO - 	 In epoch number 27, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.16 secs
2024-03-25 20:36:59,127 - INFO - Finished epoch number 27 | Loss: 5.407521344542475e-05 | Epoch Time: 23.631243228912354
2024-03-25 20:36:59,231 - INFO - 	 In epoch number 28, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:37:09,861 - INFO - 	 In epoch number 28, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.73 secs
2024-03-25 20:37:20,400 - INFO - 	 In epoch number 28, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.27 secs
2024-03-25 20:37:22,867 - INFO - Finished epoch number 28 | Loss: 5.1992238863356096e-05 | Epoch Time: 23.738868951797485
2024-03-25 20:37:22,973 - INFO - 	 In epoch number 29, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:37:33,517 - INFO - 	 In epoch number 29, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.65 secs
2024-03-25 20:37:44,057 - INFO - 	 In epoch number 29, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.19 secs
2024-03-25 20:37:46,572 - INFO - Finished epoch number 29 | Loss: 4.601611366117952e-05 | Epoch Time: 23.704192399978638
2024-03-25 20:37:46,678 - INFO - 	 In epoch number 30, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:37:57,278 - INFO - 	 In epoch number 30, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.71 secs
2024-03-25 20:38:07,860 - INFO - 	 In epoch number 30, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.29 secs
2024-03-25 20:38:28,978 - INFO - Epoch: 30 | Loss: 0.0000 | Training accuracy: 99.749% | Validation accuracy: 66.787% | Epoch Time: 42.41 secs
2024-03-25 20:38:34,505 - INFO - 	 In epoch number 31, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.12 secs
2024-03-25 20:38:45,117 - INFO - 	 In epoch number 31, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.73 secs
2024-03-25 20:38:55,661 - INFO - 	 In epoch number 31, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.27 secs
2024-03-25 20:38:58,134 - INFO - Finished epoch number 31 | Loss: 4.603613046000075e-05 | Epoch Time: 23.744441509246826
2024-03-25 20:38:58,240 - INFO - 	 In epoch number 32, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:39:08,765 - INFO - 	 In epoch number 32, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.63 secs
2024-03-25 20:39:19,310 - INFO - 	 In epoch number 32, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.18 secs
2024-03-25 20:39:21,786 - INFO - Finished epoch number 32 | Loss: 4.2990682069733836e-05 | Epoch Time: 23.651261568069458
2024-03-25 20:39:21,895 - INFO - 	 In epoch number 33, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
